video_thumbnail_url,video_title,video_duration,is_boosted,tiktok_video_url,fastmoss_video_url,creator_name,creator_id,followers,creator_category,TikTok_creator_link,creator_fastmoss_url,publish_time,views,likes_90d,store_sales_volume_90d,store_sales_revenue_90d,store_product_count,duration_seconds
https://s.500fd.com/tt_video/osBDRfDA1TAfEtBnUjEdV9jEJasFQEpCEQAAZa~tplv-photomode-zoomcover:480:480.avif,@medicube global I will never get tired of these eye patches! They work so well and feel so nice!  #medicube #skincare #eyepatches #pdrn #collagen ,00:01:58,No,https://www.tiktok.com/@kelliharvey12/video/7625721761564249374,https://www.fastmoss.com/en/media-source/video/7625721761564249374,kelliharvey12🖤,kelliharvey12,6346,Food & Beverage,https://www.tiktok.com/@kelliharvey12,https://www.fastmoss.com/en/influencer/detail/6818789785898173445,2026-04-07 02:55:24(UTC-5),710.0,8,1,18.9,0,118
https://s.500fd.com/default/video_default.png,#medicube #serum #hudration #collagen #fyp ,00:00:29,No,https://www.tiktok.com/@indira_bhandari_/video/7622103824810970381,https://www.fastmoss.com/en/media-source/video/7622103824810970381,Indira Bhandari,indira_bhandari_,5521,Other,https://www.tiktok.com/@indira_bhandari_,https://www.fastmoss.com/en/influencer/detail/6963692898123301893,2026-03-28 08:56:06(UTC-5),440.0,9,1,57.0,0,29
https://s.500fd.com/tt_video/oIAA6igmP3u8BJAAIfQBR1C8AKixiCAIy0ACEg.image,"Andamos probando productos para mejorar nuestras patas de gallo y hoy tocaron los parches de @medicube global que sus nuevos parches con colageno hidrolizado y cafeina nos ayudan a que nuestra zona se sienta y se vea fresca, adicional estoy usando su contorno de ojos con retinol, niacinamida y PÉPTIDOS que aquiii el que sabe sabe (Los amo) @medicube US Store #medicubeskincare #tiktokshop #eyepatch #contornodeojos #skincare ",00:01:51,No,https://www.tiktok.com/@luisanarojasarevalo/video/7618445448713375006,https://www.fastmoss.com/en/media-source/video/7618445448713375006,Luisana | skincare & tips✨,luisanarojasarevalo,2268,Beauty & Makeup,https://www.tiktok.com/@luisanarojasarevalo,https://www.fastmoss.com/en/influencer/detail/6821599769824969733,2026-03-18 12:19:26(UTC-5),622.0,9,1,19.9,0,111
https://s.500fd.com/tt_video/oMfpSQRGEFD0IinEIeFkCIAQDOAnQgCkXKASPA~tplv-photomode-zoomcover:480:480.avif,SUPER SALE ON Medicube PDRN caffeine collagen eye pads grab them while you can! #medicube #collagen #antiaging #womenover40 #pdrn ,00:00:14,No,https://www.tiktok.com/@viral_bliss/video/7625008565891239181,https://www.fastmoss.com/en/media-source/video/7625008565891239181,Viral_Bliss ✨🗝️,viral_bliss,49766,Home & Appliances,https://www.tiktok.com/@viral_bliss,https://www.fastmoss.com/en/influencer/detail/7270994946433762346,2026-04-08 03:21:00(UTC-5),473.0,3,1,18.9,0,14
https://s.500fd.com/tt_video/o44SunDrEFA0I2CxSAEVAHEAE1xRfRcHpeSDAa~tplv-tiktokx-origin.image,Esta mascarilla de @medicube global fue un antes y un despues. Si quieres una carita mas hidratada creeme que la vas a necesitar #medicube #medicubecollagen #collagenmask #medicubeskincare #cuidadodelapiel ,00:02:27,No,https://www.tiktok.com/@shelsy_denis/video/7622092893863349535,https://www.fastmoss.com/en/media-source/video/7622092893863349535,Shelsy Denis🥥,shelsy_denis,3550,Other,https://www.tiktok.com/@shelsy_denis,https://www.fastmoss.com/en/influencer/detail/7418623524423140398,2026-03-28 08:13:32(UTC-5),643.0,14,1,57.0,0,147
https://s.500fd.com/tt_video/ocb5RpuluWtiEwpXEAIGA3FffREAUiIBCsVBqc~tplv-tiktokx-origin.image,#eyepatch #medicube #eyepatch #koreanskincare #kbeauty ,00:00:14,No,https://www.tiktok.com/@suzisfinds/video/7618333157053467935,https://www.fastmoss.com/en/media-source/video/7618333157053467935,Suzis finds,suzisfinds,25273,Fashion & Accessories,https://www.tiktok.com/@suzisfinds,https://www.fastmoss.com/en/influencer/detail/7297156145356997674,2026-03-18 05:03:42(UTC-5),656.0,3,1,19.9,0,14
https://s.500fd.com/tt_video/owEATI4wqwBOEQzUqLDtBIarElRzvgOiPUidP~tplv-photomode-zoomcover:480:480.avif,Tired mom hack 😂  @medicube global  #medicube #caffeineeyepatches #medicubeskincare #koreanskincare ,00:00:21,No,https://www.tiktok.com/@yesjessdiaries/video/7624894055385795854,https://www.fastmoss.com/en/media-source/video/7624894055385795854,Jess 🍒,yesjessdiaries,6442,Other,https://www.tiktok.com/@yesjessdiaries,https://www.fastmoss.com/en/influencer/detail/6799065957266375686,2026-04-04 21:24:08(UTC-5),1455.0,10,1,18.9,0,21
https://s.500fd.com/default/video_default.png,"I like it... anything that saves me time, I'm here for it🩷🩷",00:03:15,No,https://www.tiktok.com/@prettyinbrandinglive/video/7620854579290230029,https://www.fastmoss.com/en/media-source/video/7620854579290230029,Pretty in Branding Live,prettyinbrandinglive,1459,Other,https://www.tiktok.com/@prettyinbrandinglive,https://www.fastmoss.com/en/influencer/detail/7040951196324922374,2026-03-25 00:08:44(UTC-5),441.0,9,1,57.0,0,195
https://s.500fd.com/tt_video/oEEE5FpZXBY7DnDOIfQ38SBgE4detuxlJqZARv~tplv-photomode-zoomcover:480:480.avif,"No makeup days hit different when your skin actually looks good. These MEDICUBE collagen eye patches help brighten, smooth, and depuff so you look naturally refreshed. #eyepatches #glowingskin #kbeautyskincare #pdrn #tiktokshopcreatorpicks @medicube global ",00:00:13,No,https://www.tiktok.com/@findswithemily/video/7618250967422684429,https://www.fastmoss.com/en/media-source/video/7618250967422684429,Emily,findswithemily,2650,Other,https://www.tiktok.com/@findswithemily,https://www.fastmoss.com/en/influencer/detail/7510302163639305259,2026-03-17 23:44:51(UTC-5),608.0,7,1,19.9,0,13
https://s.500fd.com/tt_video/okjQ1enfCCGSIjsRLCAftIQGQAwUQapFqqeu92~tplv-tiktokx-origin.image,How is it ALREADY on sale… HAAHAH,00:00:34,No,https://www.tiktok.com/@authenticallyalivia/video/7624607128560340254,https://www.fastmoss.com/en/media-source/video/7624607128560340254,Alivia,authenticallyalivia,26335,Other,https://www.tiktok.com/@authenticallyalivia,https://www.fastmoss.com/en/influencer/detail/7520923273216590878,2026-04-04 03:19:50(UTC-5),1877.0,20,1,24.2,0,34
