creator,creator_profile_url,video_url,video_id,description,duration,views,likes,comments,ROAS,ad_spend,duration_seconds
patricknogueiraaa,https://www.tiktok.com/@7340088035521266730,https://www.tiktok.com/@/video/7625859271007210766?_r=1,7625859271007210496,This is how you get rid of those tired eyes 👀 #drmelaxin #skincare #undereyebags #darkcircles #eyebagsremedy ,55s,1100000,3202,36,5.88,2724.62,55
sarahcramos,https://www.tiktok.com/@6717791315360777222,https://www.tiktok.com/@/video/7626439628198808845?_r=1,7626439628198808576,toasted marshmallow is now sold solo✨  @Summer Fridays #summerfridays #summerfridayslipbalm #tiktokshopcreatorpicks #lipbalm #summerfridayslipbutterbalm ,21s,4402,39,1,4.76,17.01,21
julia_vieira27,https://www.tiktok.com/@6866247895924048902,https://www.tiktok.com/@/video/7626472178376002829?_r=1,7626472178376002560,"My favorite crimper by far, never seen more natural waves! #wavytalk #wavytalkpowerwave #festivalessentials #festival #hair @wavytalkofficial ",21s,7388,31,0,4.55,35.19,21
thomas.ruster,https://www.tiktok.com/@7312300379294090286,https://www.tiktok.com/@/video/7626372898395000078?_r=1,7626372898394999808,@medicube US Store Has this acne kit I love! #acne #acnetreatment #acneproneskin #acneskincare #medicube ,55s,1433,16,1,3.7,13.5,55
mackenzietaylord,https://www.tiktok.com/@6577113524689534981,https://www.tiktok.com/@/video/7626440909999148319?_r=1,7626440909999148032,I LOVE this tool. #tymo ,85s,33700,821,8,3.57,75.58,85
laurenmlewyshop,https://www.tiktok.com/@6767381069501383685,https://www.tiktok.com/@/video/7626219930119064846?_r=1,7626219930119064576,#lipliner #lipoftheday ,10s,11700,45,5,4.76,41.58,10
honey_yenho,https://www.tiktok.com/@6982122543684436998,https://www.tiktok.com/@/video/7626456355636890893?_r=1,7626456355636890624,"""VeyesBeauty Brown Manga""   @VEYESBEAUTY   #veyesbeauty #honeyyenho  ""VeyesBeauty Brown Manga""",19s,17700,3850,11,0.0,0.0,19
shawn.plug,https://www.tiktok.com/@6968999632437707782,https://www.tiktok.com/@/video/7624971295007984926?_r=1,7624971295007984640,Smoothest shaves I have EVER had 😳 #shavebar #mensshaving #shavingtips #cleanshave #smoothshave ,33s,18600,41,3,4.17,20.4,33
zeezoubee,https://www.tiktok.com/@6834286921494316037,https://www.tiktok.com/@/video/7611294625269157150?_r=1,7611294625269156864,Sometimes you just need a dopamine hit… ,93s,19600,674,24,3.72,92.02,93
dude.mother,https://www.tiktok.com/@7362717596833891370,https://www.tiktok.com/@/video/7626187761015360782?_r=1,7626187761015360512,this is goood,37s,4381,27,0,4.76,24.99,37
olov_us,https://www.tiktok.com/@7366523924785579050,https://www.tiktok.com/@/video/7626337312158403853?_r=1,7626337312158403584,"Waterproof, Led Light, & USB rechargeable. Easy to use.#olov #olovtrimmer #trimmer #tiktokmademebuyit ",27s,94800,93,0,3.85,83.68,27
soylamunequita,https://www.tiktok.com/@7330033121024623659,https://www.tiktok.com/@/video/7626610854317919518?_r=1,7626610854317919232,Thank you: @akunbem 🩷 I’m team bush BUT tiny bikinis & no razor bumps all summer pls 😍 #akunbemelectricshaver #brazilian #akunbem #bikini ,27s,867,38,1,5.88,3.23,27
los.landeroz,https://www.tiktok.com/@7272192724018414638,https://www.tiktok.com/@/video/7626433224272514334?_r=1,7626433224272514048,#revita #hairloss #hairlosssolutions #caidadecabello #tiktokshop ,79s,78100,198,3,4.0,704.7,79
ssgapeach,https://www.tiktok.com/@7472156141062882346,https://www.tiktok.com/@/video/7626535630146751758?_r=1,7626535630146751488,Looking for your next signature scent? If you love vanilla then give this vanilla body splash a try. It moisturizes. smooths and promotes healthy skin. The scent is light but long lasting.  #herfantasybox #tiktokshopfinds #BeautyTok #perfumetiktok #bodysplash @Her Fantasy Box ,23s,504,12,7,3.45,6.47,23
theneuromom,https://www.tiktok.com/@7422689867463558186,https://www.tiktok.com/@/video/7622674299949714718?_r=1,7622674299949714432,,51s,36400,153,4,4.17,316.64,51
kaylabattles,https://www.tiktok.com/@16360253,https://www.tiktok.com/@/video/7623543330080558367?_r=1,7623543330080558080,@wavytalkofficial my new favorite hair tool!!  #waver #crimperhairstyle #wavytalkpowerwave ,122s,3472,78,4,0.0,0.0,122
crystalbrownshop,https://www.tiktok.com/@6993056240906699782,https://www.tiktok.com/@/video/7608430824651869471?_r=1,7608430824651869184,Veet sensitive skin hair removal. Get rid of your hair before summer#veet #tiktokshopcreatorpick #bodyhair #hairremover #bodyhair ,29s,12144,56,8,0.0,0.0,29
msdee_931,https://www.tiktok.com/@7353692726808036398,https://www.tiktok.com/@/video/7613480726284995871?_r=1,7613480726284995584,I’m hooked! @godaperfume #godaperfume #bodyoil #silkbodyoil #softskin ,137s,7101,61,7,0.0,0.0,137
brenda_p29,https://www.tiktok.com/@21203117,https://www.tiktok.com/@/video/7615272571147128095?_r=1,7615272571147127808,Replying to @Chazzy 🎀 Yess! That wet lash look is everything 😭 they’re linked above my name if you want them✨💖#maxcomfi #wetlashes #naturallashes #fyp #wetlook @Maxcomfi ,13s,41500,156,6,5.0,63.97,13
rebalasha,https://www.tiktok.com/@6887338777570411525,https://www.tiktok.com/@/video/7623767708227652895?_r=1,7623767708227652608,Can you say obsessed!! Glad I was able to get it here because I’ve been searching for this hand cream! It’s soo hydrating @LOCCITANE ,61s,22400,584,19,4.55,59.84,61
element.finds,https://www.tiktok.com/@6780092058026116102,https://www.tiktok.com/@/video/7618333431436479758?_r=1,7618333431436479488,No más dolor de espalda baja. Agarra el tuyo antes que se agoten!  #ciatica #lowerbackpain #backpainrelief #backmassager #tiktokshopcreatorpicks ,29s,57900,74,1,5.0,70.16,29
breezylunchboxtime,https://www.tiktok.com/@7009361960470856709,https://www.tiktok.com/@/video/7625673106539007262?_r=1,7625673106539006976,#rainbow #bathbomb ,21s,503,9,0,3.71,5.39,21
lyndeedebetaz,https://www.tiktok.com/@26050803,https://www.tiktok.com/@/video/7626227046477516045?_r=1,7626227046477515776,This blush duo is Tooo good🙌🏼🙌🏼🍑🍑 ,73s,869,42,14,5.0,11.2,73
truetalk.paco,https://www.tiktok.com/@7404544250929382443,https://www.tiktok.com/@/video/7626169774787153165?_r=1,7626169774787152896,"Pertume Sandalwood 33, 90ml. Aroma elegante y duradero que deja tu marca personal en cada momento. #Sandalwood33 #PerfumeElegante #TikTokShopAd ##AromaDuradero #AdStyle",15s,46300,68,2,5.26,68.35,15
lavvgueritamiaa,https://www.tiktok.com/@6570040759863738374,https://www.tiktok.com/@/video/7626510516680281375?_r=1,7626510516680281088,🙈 @Kisslily #fyp #latina #guerita #lashtok #baddie ,29s,1371,139,20,5.88,6.51,29
ashleykaylamakeup,https://www.tiktok.com/@6682846249152889862,https://www.tiktok.com/@/video/7626581572036185358?_r=1,7626581572036185088,Black Honey eye duo from @Clinique High Impact Eye Duo - High Impact Gel Tech Eyeliner + High Impact Mascara both in Black Honey *products gifted in pr #Eyeliner #cliniqueblackhoney #wingedeyeliner ,21s,9520,31,0,4.35,121.44,21
nats.finds,https://www.tiktok.com/@7318818057211249706,https://www.tiktok.com/@/video/7626135911008357663?_r=1,7626135911008357376,#razor #shaver #electricrazor ,27s,17500,136,0,4.0,21.38,27
jillthenursenextdoor,https://www.tiktok.com/@7182919030785803310,https://www.tiktok.com/@/video/7626759356930952478?_r=1,7626759356930952192,Purple sits opposite yellow on the color wheel…so it cancels out dull tones for an instantly brighter smile 💜🦷 #purplewhiteningstrips #ceelike #instantwhitening #purplecancelsyellow #yellowteeth ,21s,505,10,2,0.0,0.0,21
justabby1971,https://www.tiktok.com/@6769346999106241542,https://www.tiktok.com/@/video/7626354674957847822?_r=1,7626354674957847552,Replying to @nancym_602💙💙 #hollowundereyes #darkcircles ,66s,12500,56,14,6.25,72.58,66
drewlowri,https://www.tiktok.com/@6873620950333162501,https://www.tiktok.com/@/video/7626070977859882253?_r=1,7626070977859881984,Please don’t do this #eyebags #skincare #medicube ,35s,240500,978,30,4.35,1282.48,35
ojitosbonitos_08,https://www.tiktok.com/@6532012228269309954,https://www.tiktok.com/@/video/7626204016367717663?_r=1,7626204016367717376,her absolute favorite😍 @carslan_us #fyp #tiktokshop #carslanblottingpaper #makeup #oilcontrol ,18s,118300,1865,4,6.67,190.95,18
karamhe2,https://www.tiktok.com/@7442624898841576494,https://www.tiktok.com/@/video/7626472959477042462?_r=1,7626472959477042176,"#truly #trulybeauty #tiktokshopspringglowup #tiktokshopcreatorpicks Chicas aquí les dejo lo que me ha funcionado recuerden que todas somos diferentes y los resultados pueden variar en cada una, si lo vas a usar se constante ",78s,776,4,0,0.0,0.0,78
nemo_brawl,https://www.tiktok.com/@7378792509017064494,https://www.tiktok.com/@/video/7626181214235381005?_r=1,7626181214235380736,Clear skin is finally affordable 🙏 #skincare #acne #eyebags #showeressentials ,16s,6086,37,1,3.85,90.79,16
kelseyalfred,https://www.tiktok.com/@6850891043764913158,https://www.tiktok.com/@/video/7625808125240544525?_r=1,7625808125240544256,🌹💄 trying the new NYX Professional Makeup Fat Matte Smooth Color Lipstick in Rose Robe Rose Robe is a rose‑nude matte shade that works as a *go‑to lip color* for a wide range of skin tones.   #NYXFatMatteSmoothColorLipstick #NYXRoseRobe #GoToLipShade #RoseNudeLips #MatteLipstick @NYX Professional Makeup ,36s,14400,126,9,0.0,0.0,36
readyshopreview,https://www.tiktok.com/@7615873125217223694,https://www.tiktok.com/@/video/7626252379150634270?_r=1,7626252379150633984,Burst expanding floss removes up to 2x the yuck between your teeth. How? By expanding to really get into those cracks and crevices. Taking care of your teeth just got better! @BURST Oral Care  #dentalhealth #flossing #burst #expandingfloss #ttshop,28s,720,38,37,6.66,1.8,28
